Iron Man: 85
Captain America: 70
Thor: 100
Hulk: 98
Black Widow: 55
Hawkeye: 50
Scarlet Witch: 97
Vision: 90
Ant-Man: 75
Wasp: 72
Doctor Strange: 96
Captain Marvel: 99
Spider-Man: 80
Falcon: 60
Winter Soldier: 68
War Machine: 82
Professor X: 88
Magneto: 95
Wolverine: 78
Storm: 92
Jean Grey: 99
Cyclops: 80
Rogue: 90
Gambit: 76
Beast: 72
Nightcrawler: 75
Colossus: 88
Iceman: 91
Mystique: 74
Kitty Pryde: 70
Daredevil: 65
Luke Cage: 85
Jessica Jones: 80
Iron Fist: 78
Punisher: 60
Moon Knight: 75
Echo: 62
Shang-Chi: 82
Elektra: 70
Black Panther: 83
